2015-08-04,83,CONTINENTAL BAKERY / CHEZ LULU,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=1762&InspNbr=38,1762,38
2015-08-04,82,MORRIS CHEVRON,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=21265&InspNbr=2,21265,2
2015-08-12,80,HOOD QUIK MART,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=20155&InspNbr=23,20155,23
2015-08-13,83,ST VINCENTS EAST CAFETERIA,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=19762&InspNbr=28,19762,28
2015-08-21,84,QUIK MART (SHELL),http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=17675&InspNbr=24,17675,24
2015-08-21,78,Fuego Cantina,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=16337&InspNbr=35,16337,35
2015-08-19,73,DODIYOS RESTAURANT,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=18539&InspNbr=28,18539,28
2015-08-24,81,BLUFF PARK DINER,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=17098&InspNbr=24,17098,24
2015-08-26,82,APPLE DUMPLING BAR,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=20692&InspNbr=9,20692,9
2015-08-27,81,T-MOBILE CALL CENTER,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=21216&InspNbr=5,21216,5
2015-08-21,74,COSTAS MEDITERRANEAN CAFE,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=16751&InspNbr=47,16751,47
2015-08-21,81,CARSON VILLAGE DAY CARE,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=2993&InspNbr=43,2993,43
2015-08-24,73,BRITOS SUPERMARKET #3 - DELI,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=19398&InspNbr=24,19398,24
2015-08-26,71,LA CATRINA MEXICAN CANTINA HOMEWOOD,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=20609&InspNbr=28,20609,28
2015-08-26,76,CHERRY AVENUE CITGO,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=21161&InspNbr=4,21161,4
2015-09-01,75,HOT SPOT,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=21140&InspNbr=7,21140,7
2015-08-25,81,BOSTON FISH SUPREME BUFFALO WING EXPRESS,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=20782&InspNbr=8,20782,8
